scenario,t,b,p_marg,p_bs,has_boundary,t_star_prob,b_star_prob,t_star_bs_jump,b_star_bs_jump,p_star_bs_jump
B_call,0.1631578947368421,132.8044710166965,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.16710526315789476,132.80234423119424,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.17105263157894737,132.80012170880707,1.3322676295501878e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.175,132.7977951794626,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.17894736842105263,132.79535531608397,4.440892098500626e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.18289473684210528,132.7927915627167,1.1102230246251565e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.18684210526315792,132.79009193412324,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.1907894736842105,132.7872427867398,4.440892098500626e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.19473684210526315,132.78422856784073,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.1986842105263158,132.78103156675039,3.774758283725532e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.20263157894736844,132.77763173338954,5.551115123125783e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.20657894736842106,132.77400673320972,2.55351295663786e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.21052631578947367,132.77013268298788,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.21447368421052632,132.7659868184135,2.220446049250313e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.21842105263157896,132.76155609233373,2.220446049250313e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.22236842105263158,132.75686778163717,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.2263157894736842,132.752145208097,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.23026315789473684,132.74410296306033,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.23421052631578948,132.7329987786547,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.2381578947368421,132.7190051176312,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.24210526315789474,132.70046891455712,2.220446049250313e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.24605263157894738,132.6745779769281,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.25,100.20797086199737,0.25225636755010405,0.4782276076491941,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.25384615384615383,132.81598941766612,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.25769230769230766,132.8140979435262,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.26153846153846155,132.81212818712882,8.881784197001252e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.2653846153846154,132.8100739420199,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.2692307692307692,132.80792826301285,3.3306690738754696e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.27307692307692305,132.80568334837744,2.220446049250313e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.27692307692307694,132.80333039886182,2.220446049250313e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.28076923076923077,132.80085944847602,1.2212453270876722e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.2846153846153846,132.7982591609789,1.9984014443252818e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.28846153846153844,132.79551658525412,1.9984014443252818e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.29230769230769227,132.79261686263686,3.3306690738754696e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.29615384615384616,132.78954288108338,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3,132.78627487805022,7.771561172376096e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3038461538461538,132.78279001396555,8.881784197001252e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.30769230769230765,132.77906199130283,9.992007221626409e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.31153846153846154,132.77506093668245,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3153846153846154,132.77075416517883,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3192307692307692,132.76610969221665,1.7763568394002505e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.32307692307692304,132.7611089121244,7.771561172376096e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3269230769230769,132.75579754467213,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.33076923076923076,132.7502979441641,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3346153846153846,132.7390088340619,1.2212453270876722e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3384615384615384,132.72463947991628,2.220446049250313e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3423076923076923,132.70533511331783,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.34615384615384615,132.67783659568997,3.3306690738754696e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.35,100.28238181913113,0.1428741417662842,0.47482718157353804,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3539473684210526,132.82850611565235,4.440892098500626e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.35789473684210527,132.82723581773706,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.36184210526315785,132.8259293671391,1.2212453270876722e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3657894736842105,132.8245847929403,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.36973684210526314,132.82319996352038,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3736842105263158,132.8217725689345,7.771561172376096e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.37763157894736843,132.82030010082573,6.661338147750939e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.381578947368421,132.8187798294934,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.38552631578947366,132.81720877759693,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.3894736842105263,132.81558368993893,1.1102230246251565e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.39342105263157895,132.81390099857086,2.220446049250313e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.39736842105263154,132.81215678239928,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.4013157894736842,132.8103467202532,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.4052631578947368,132.8084660361301,9.992007221626409e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.40921052631578947,132.80650943513356,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.41315789473684206,132.80447102823422,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.41710526315789476,132.80234424367416,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.42105263157894735,132.80012172236684,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.425,132.7977951942736,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.42894736842105263,132.79535533238075,1.1102230246251565e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.4328947368421053,132.79279158081334,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.4368421052631579,132.79009195443683,6.661338147750939e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.4407894736842105,132.78724280983963,4.440892098500626e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.44473684210526315,132.784228594523,2.220446049250313e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.4486842105263158,132.78103159814867,1.4432899320127035e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.4526315789473684,132.77763177115958,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
