scenario,t,b,p_marg,dp,p_bs,dp_bs,has_boundary,t_star_prob,b_star_prob,t_star_bs,b_star_bs,t_star_drop,b_star_drop,p_star_drop
A_put,0.27734375,77.01969348900724,1.5964290219326773e-07,9.793921639530488e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.28125,77.02429181626277,1.6997720037822387e-07,1.0334298184956143e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.28515625,77.02917221503712,1.8088013106132594e-07,1.0902930683102068e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.2890625,77.03434613597169,1.9238105918488366e-07,1.1500928123557723e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.29296875,77.03981630066951,2.0450953053329897e-07,1.2128471348415306e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.296875,77.04556501588786,2.1729282066501713e-07,1.2783290131718159e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.30078125,77.05152084304,2.3074847003608745e-07,1.345564937107032e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.3046875,77.05741755669986,2.448524312990802e-07,1.4103961262992741e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.30859375,77.06270548615379,2.595082196610555e-07,1.4655788361975316e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.3125,77.06760076566113,2.7476776095990183e-07,1.525954129884632e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.31640625,77.07282886940818,2.908151072186445e-07,1.6047346258742674e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.3203125,77.07840778618207,3.0769232156769935e-07,1.6877214349054848e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.32421875,77.08434642795487,3.254417707837605e-07,1.7749449216061134e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.328125,77.09063114848313,3.4410188001892924e-07,1.8660109235168753e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.33203125,77.09718679837292,3.636939766022522e-07,1.9592096583322962e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.3359375,77.10371045735087,3.841653030966758e-07,2.0471326494423577e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.33984375,77.10947775121981,4.0530595152249386e-07,2.1140648425818085e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.34375,77.11476719728856,4.2720494983145285e-07,2.1898998308958996e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.34765625,77.120439523409,4.5018067726317435e-07,2.2975727431721492e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.3515625,77.12651448813821,4.7429169408533793e-07,2.4111016822163585e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.35546875,77.13299735152691,4.995946921712729e-07,2.530299808593495e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.359375,77.13985585374601,5.261336105122304e-07,2.6538918340957566e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.36328125,77.14694491467137,5.539024814928608e-07,2.7768870980630392e-08,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
